,title,year,budget_2013$,intgross_2013$
411,The Next Three Days,2010,32046955,71844911.0
412,The Other Guys,2010,106823184,182599780.0
413,The Runaways,2010,10148202,5638803.0
414,The Social Network,2010,42729274,240268986.0
415,The Sorcerer&#39;s Apprentice,2010,170917095,229831139.0
416,The Spy Next Door,2010,29910492,54462053.0
417,The Switch,2010,20296405,53260400.0
418,The Tempest,2010,21364637,296908.0
419,The Tourist,2010,106823184,297749724.0
420,The Town,2010,39524578,162976800.0
421,The Twilight Saga: Eclipse,2010,72639765,747325041.0
422,The Wolfman,2010,160234776,152366563.0
423,Tiny Furniture,2010,53412,453089.0
424,Toy Story 3,2010,213646368,1136341723.0
425,Tron Legacy,2010,213646368,424689202.0
426,True Grit,2010,37388114,269490247.0
427,Tucker and Dale vs Evil,2010,5341159,5850485.0
428,Unstoppable,2010,101482025,181077698.0
429,Valentine&#39;s Day,2010,55548056,232414484.0
430,Wall Street: Money Never Sleeps,2010,74776229,146808831.0
431,Welcome to the Rileys,2010,10682318,334204.0
432,Wild Target,2010,8545855,116798.0
433,Winter&#39;s Bone,2010,2136464,17232238.0
435,Yogi Bear,2010,85458547,216086548.0
436,You Again,2010,21364637,35079607.0
437,You Will Meet a Tall Dark Stranger,2010,16023478,36584608.0
438,(500) Days of Summer,2009,8142987,66015966.0
439,17 Again,2009,43429264,151432312.0
440,2012,2009,217146319,856000062.0
441,9,2009,32571948,52723125.0
442,A Perfect Getaway,2009,15200242,24771466.0
443,A Serious Man,2009,7600121,32963430.0
444,A Single Man,2009,7600121,30555070.0
445,Adam,2009,3474341,3071090.0
446,Adventureland,2009,10640170,18613810.0
447,Agora,2009,76001212,42335163.0
448,Ajami,2009,1085732,675172.0
449,All About Steve,2009,16285974,43567433.0
450,An Education,2009,8142987,32194912.0
451,Angels &amp; Demons,2009,162859739,532959416.0
452,Armored,2009,21714632,25689537.0
453,Astro Boy,2009,70572554,47873178.0
454,Avatar,2009,461435929,3022588801.0
455,Away We Go,2009,22800364,10974592.0
456,Br&uuml;no,2009,45600727,142000928.0
457,Bride Wars,2009,32571948,125022454.0
458,Bright Star,2009,9228719,18740466.0
459,Brooklyn&#39;s Finest,2009,18457437,42596761.0
460,Brothers,2009,28229022,48905553.0
461,Capitalism: A Love Story,2009,21714632,20760850.0
462,Case 39,2009,29314753,31814980.0
463,Chloe,2009,14114511,10504640.0
464,Cloudy with a Chance of Meatballs,2009,108573160,257131292.0
465,Coco avant Chanel,2009,24971827,55170185.0
466,Coraline,2009,65143896,136842415.0
467,Daybreakers,2009,21714632,55808316.0
468,Dead Snow,2009,868585,2382117.0
469,District 9,2009,32571948,233645777.0
