,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
321,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.0,Q,498,0.8,0.89,0.63,406.0,406.0,384.0
322,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68.0,Q,563,0.96,0.94,0.84,439.0,445.0,432.0
323,29Q248,QUEENS PREPARATORY ACADEMY,52.0,Q,415,0.7,0.83,0.52,360.0,380.0,359.0
324,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46.0,Q,583,0.66,0.91,0.57,401.0,397.0,375.0
325,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49.0,Q,483,0.79,0.87,0.52,402.0,398.0,402.0
326,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59.0,Q,468,0.78,0.88,0.66,436.0,427.0,424.0
327,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43.0,Q,588,0.9,0.85,0.59,370.0,367.0,363.0
328,29Q326,CAMBRIA HEIGHTS ACADEMY,,Q,353,0.86,0.86,0.75,nan,nan,nan
329,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78.0,Q,415,0.71,0.8,0.41,400.0,426.0,394.0
330,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62.0,Q,454,0.68,0.86,0.45,393.0,381.0,377.0
331,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,Q,565,0.96,0.94,0.92,nan,nan,nan
332,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,Q,565,0.98,0.93,0.81,410.0,440.0,405.0
333,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395.0,Q,2394,0.72,0.89,0.52,414.0,449.0,412.0
334,30Q450,LONG ISLAND CITY HIGH SCHOOL,392.0,Q,2256,0.66,0.86,0.45,403.0,420.0,395.0
335,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174.0,Q,831,0.93,0.93,0.95,504.0,496.0,494.0
336,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148.0,Q,1007,0.84,0.9,0.59,407.0,434.0,398.0
337,30Q555,NEWCOMERS HIGH SCHOOL,143.0,Q,911,0.77,0.89,0.55,323.0,475.0,329.0
338,30Q575,ACADEMY OF AMERICAN STUDIES,135.0,Q,1038,0.93,0.94,0.72,487.0,492.0,491.0
339,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61.0,Q,540,0.99,0.95,0.95,524.0,568.0,544.0
340,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137.0,R,495,0.99,0.95,0.92,452.0,451.0,450.0
341,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61.0,R,439,0.91,0.91,0.79,398.0,412.0,385.0
342,31R080,THE MICHAEL J. PETRIDES SCHOOL,107.0,R,1313,0.93,0.92,0.59,472.0,488.0,466.0
343,31R440,NEW DORP HIGH SCHOOL,391.0,R,3045,0.8,0.87,0.56,424.0,437.0,416.0
344,31R445,PORT RICHMOND HIGH SCHOOL,271.0,R,1549,0.67,0.86,0.36,424.0,438.0,417.0
345,31R450,CURTIS HIGH SCHOOL,375.0,R,2587,0.73,0.85,0.48,437.0,435.0,429.0
346,31R455,TOTTENVILLE HIGH SCHOOL,807.0,R,3808,0.89,0.91,0.62,462.0,486.0,470.0
347,31R460,SUSAN E. WAGNER HIGH SCHOOL,535.0,R,3284,0.86,0.9,0.73,455.0,474.0,459.0
348,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94.0,R,792,0.77,0.87,0.3,416.0,422.0,397.0
349,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227.0,R,1320,1.0,0.97,0.88,635.0,682.0,636.0
350,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50.0,K,272,0.7,0.8,0.44,380.0,366.0,352.0
351,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88.0,K,498,0.71,0.87,0.4,384.0,409.0,361.0
352,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.0,K,364,0.69,0.78,0.48,348.0,353.0,334.0
353,32K552,ACADEMY OF URBAN PLANNING,67.0,K,197,0.79,0.89,0.34,342.0,364.0,354.0
354,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,K,435,0.97,0.93,0.73,428.0,465.0,422.0
355,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23.0,K,281,0.73,0.81,0.42,347.0,358.0,350.0
